"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source","AWB Number"
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","289622",""
"N/A","whatsapp","Delivery","Pincode not serviceable","","","","","12_Dec'25","12_Dec Week 2","289391",""
"N/A","email","Delivery","Fake Order RTO","","","","","12_Dec'25","12_Dec Week 2","287178",""
"N/A","voiceCall","Delivery","Fake Order RTO","","","","","12_Dec'25","12_Dec Week 2","289000",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","288559",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","288072",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286868",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286963",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286726",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286534",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286750",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","286319",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","285937",""
"N/A","email","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","280001",""
"N/A","whatsapp","Delivery","Marked Delivered but customer did not receive order","","","","","12_Dec'25","12_Dec Week 2","285953",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","285446",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","284970",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","285361",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","285596",""
"N/A","whatsapp","Delivery","Delivery Boy complaint","","","","","12_Dec'25","12_Dec Week 2","284021",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283953",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283634",""
"N/A","instagram","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283609",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283637",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283655",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283665",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283165",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","280902",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283030",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","283017",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282693",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282311",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282851",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282442",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282497",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","282136",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","280621",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","280268",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","280085",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279993",""
"N/A","instagram","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278515",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279988",""
"N/A","whatsapp","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279986",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279119",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279043",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","278862",""
"N/A","voiceCall","Delivery","Delayed Order","","","","","12_Dec'25","12_Dec Week 2","279421",""
